;index;date;couleur des yeux;age;exp;salaire;sexe;diplome;métier;note;dispo;embauche;ville d'origine
0;0;02/06/2012;Vert;25.0;9.0;26803.0;F;licence;Data Scientist;97.08;non;0;9
1;1;21/04/2011;Bleu;35.0;13.0;38166.0;M;licence;Data Analyst;63.86;non;0;12
2;2;07/09/2012;Bleu;29.0;13.0;35207.0;M;licence;Data Scientist;78.5;non;0;9
3;3;01/07/2011;Hazel;;12.0;32442.0;M;licence;Data Scientist;45.09;non;0;11
4;4;07/08/2012;Vert;35.0;6.0;28533.0;F;licence;Data Engineer;81.91;non;0;6
5;5;12/02/2014;Marron;37.0;8.0;38558.0;M;master;Data Scientist;63.46;non;1;5
6;6;11/11/2013;Hazel;33.0;12.0;39476.0;M;master;Data Scientist;50.2;oui;0;13
7;7;10/03/2012;Vert;31.0;10.0;42392.0;M;licence;Data Analyst;62.2;oui;0;10
8;8;17/10/2014;Marron;43.0;10.0;28625.0;M;doctorat;Data Scientist;65.17;non;1;7
9;9;04/06/2011;Marron;28.0;11.0;32454.0;M;master;Data Analyst;66.93;non;1;12
10;10;06/08/2014;Hazel;50.0;12.0;38516.0;F;licence;Data Scientist;58.93;non;0;12
11;11;22/04/2010;Bleu;43.0;8.0;38719.0;M;master;Data Steward;80.07;oui;0;14
12;12;23/10/2011;Hazel;44.0;9.0;28688.0;M;doctorat;Data Analyst;115.76;oui;0;6
13;13;25/06/2014;Hazel;39.0;4.0;30822.0;F;licence;Data Scientist;66.85;non;0;8
14;14;15/10/2011;Vert;23.0;14.0;33882.0;M;licence;Data Scientist;61.46;non;0;3
15;15;12/07/2010;Hazel;38.0;3.0;40889.0;M;master;Data Scientist;62.85;oui;0;1
16;16;05/02/2012;Hazel;31.0;10.0;28507.0;M;doctorat;Data Analyst;104.26;oui;0;1
17;17;03/07/2010;Bleu;37.0;13.0;41512.0;M;bac;Data Scientist;55.91;non;0;2
18;18;21/07/2010;Bleu;35.0;14.0;30359.0;M;licence;Data Scientist;94.58;non;0;10
19;19;22/07/2014;Marron;44.0;8.0;28956.0;M;master;Data Scientist;74.82;non;0;10
20;20;12/02/2010;Hazel;31.0;12.0;34483.0;M;master;Data Analyst;66.27;oui;0;10
21;21;22/05/2014;Marron;30.0;10.0;39069.0;F;licence;Data Analyst;65.19;non;0;4
22;22;04/01/2010;Hazel;39.0;13.0;34632.0;M;master;Data Scientist;81.35;non;0;10
23;23;20/03/2012;Hazel;31.0;8.0;41582.0;M;licence;Data Scientist;58.94;non;0;3
24;24;16/01/2012;Bleu;35.0;8.0;30782.0;F;licence;Data Scientist;90.31;non;0;4
25;25;13/05/2014;Marron;31.0;12.0;33238.0;F;master;Data Engineer;70.39;non;0;7
26;26;12/04/2013;Hazel;33.0;8.0;;F;licence;Data Engineer;56.99;non;0;8
27;27;18/06/2013;Hazel;42.0;8.0;30641.0;F;licence;Data Scientist;78.89;non;0;15
28;28;02/01/2010;Marron;27.0;13.0;31505.0;F;master;Data Steward;88.33;non;0;3
29;29;25/07/2010;Marron;19.0;9.0;31357.0;M;doctorat;Data Engineer;88.69;oui;0;12
30;30;21/03/2010;Hazel;19.0;4.0;39031.0;M;master;Data Scientist;57.48;oui;0;4
31;31;29/05/2014;Marron;40.0;13.0;37495.0;M;doctorat;Data Scientist;80.86;oui;0;8
32;32;05/02/2012;Marron;43.0;7.0;37579.0;M;doctorat;Data Scientist;91.15;oui;0;14
33;33;03/09/2012;Bleu;28.0;13.0;34485.0;F;licence;Data Analyst;76.94;non;0;14
34;34;21/06/2010;Bleu;38.0;6.0;41909.0;M;licence;Data Scientist;87.76;oui;1;4
35;35;04/11/2011;Marron;43.0;8.0;46245.0;M;licence;Data Scientist;49.39;non;0;1
36;36;01/08/2010;Hazel;49.0;8.0;38020.0;M;master;Data Analyst;60.63;oui;0;12
37;37;10/01/2013;Hazel;26.0;11.0;31759.0;F;master;Data Analyst;102.66;non;1;12
38;38;14/06/2013;Bleu;59.0;7.0;40397.0;M;licence;Data Analyst;60.42;oui;0;12
39;39;08/11/2014;Marron;37.0;6.0;27002.0;M;master;Data Analyst;55.83;non;1;6
40;40;23/04/2013;Hazel;41.0;8.0;34359.0;F;bac;Data Scientist;56.41;non;0;3
41;41;07/09/2014;Bleu;34.0;15.0;36295.0;M;licence;Data Scientist;81.06;oui;0;5
42;42;28/04/2012;Marron;25.0;9.0;34640.0;F;master;Data Engineer;73.96;non;0;15
43;43;29/09/2013;Marron;24.0;9.0;44710.0;M;bac;Data Scientist;29.97;non;0;7
44;44;11/12/2014;Hazel;16.0;7.0;29858.0;M;master;Data Scientist;76.18;non;0;13
45;45;27/12/2014;Hazel;36.0;8.0;36653.0;F;licence;Data Engineer;74.47;non;0;15
46;46;18/02/2010;Marron;43.0;5.0;42337.0;F;licence;Data Engineer;57.33;non;1;6
47;47;07/06/2014;Marron;38.0;11.0;39854.0;F;doctorat;Data Steward;73.22;oui;0;1
48;48;18/03/2011;Bleu;37.0;9.0;32154.0;F;master;Data Analyst;102.95;oui;0;8
49;49;03/08/2010;Marron;26.0;10.0;36792.0;F;doctorat;Data Engineer;99.05;oui;0;9
50;50;03/07/2011;Marron;25.0;8.0;25575.0;M;doctorat;Data Scientist;108.81;oui;0;13
51;51;10/01/2014;Vert;29.0;9.0;34962.0;M;bac;Data Scientist;36.92;non;0;3
52;52;23/05/2010;Bleu;48.0;14.0;41311.0;F;licence;Data Scientist;77.58;non;1;14
53;53;18/07/2012;Marron;47.0;10.0;32617.0;F;master;Data Engineer;84.29;non;0;10
54;54;17/03/2013;Marron;53.0;11.0;36032.0;M;doctorat;Data Engineer;92.16;oui;0;4
55;55;13/12/2010;Hazel;48.0;5.0;39932.0;F;licence;Data Engineer;65.51;non;1;3
56;56;27/11/2014;Marron;33.0;15.0;32322.0;F;doctorat;Data Scientist;103.35;oui;0;14
57;57;24/06/2014;Vert;36.0;14.0;38843.0;M;licence;Data Engineer;68.82;oui;0;9
58;58;01/01/2011;Hazel;23.0;6.0;40244.0;F;master;Data Steward;93.1;oui;0;2
59;59;05/04/2010;Marron;;9.0;40992.0;F;master;Data Steward;79.33;oui;0;5
60;60;03/11/2010;Hazel;25.0;11.0;25405.0;F;doctorat;Data Engineer;81.24;non;0;13
61;61;12/06/2013;Hazel;20.0;8.0;40900.0;M;licence;Data Scientist;61.91;non;0;5
62;62;02/08/2014;Marron;41.0;7.0;22335.0;M;doctorat;Data Scientist;83.08;non;0;10
63;63;03/09/2011;Bleu;31.0;16.0;35113.0;M;master;Data Scientist;101.14;;1;5
64;64;22/06/2012;Bleu;23.0;7.0;30188.0;F;licence;Data Scientist;85.0;non;0;13
65;65;08/03/2012;Bleu;22.0;12.0;41807.0;M;bac;Data Scientist;69.08;non;0;1
66;66;17/05/2014;Hazel;40.0;11.0;33787.0;M;doctorat;Data Analyst;95.77;oui;0;14
67;67;30/05/2011;Bleu;54.0;7.0;35396.0;M;bac;Data Scientist;48.69;non;0;15
68;68;20/04/2013;Bleu;35.0;9.0;30580.0;F;licence;Data Scientist;94.24;non;0;2
69;69;04/01/2012;Marron;46.0;6.0;42796.0;M;master;Data Steward;80.75;oui;0;9
70;70;20/12/2013;Bleu;29.0;8.0;39117.0;F;bac;Data Scientist;56.36;non;0;6
71;71;05/10/2010;Marron;45.0;10.0;32069.0;F;master;Data Scientist;66.3;non;0;11
72;72;11/06/2011;Hazel;42.0;5.0;42833.0;M;licence;Data Scientist;67.16;non;0;2
73;73;09/05/2012;Hazel;29.0;7.0;42383.0;M;licence;Data Analyst;66.07;oui;0;1
74;74;15/02/2012;Hazel;26.0;8.0;28401.0;F;doctorat;Data Engineer;85.1;oui;0;6
75;75;13/12/2014;Hazel;61.0;9.0;32275.0;M;master;Data Scientist;91.66;non;0;5
76;76;14/01/2012;Marron;22.0;15.0;27395.0;F;master;Data Analyst;87.07;non;0;1
77;77;13/09/2014;Bleu;33.0;12.0;38843.0;M;bac;Data Scientist;64.6;non;0;2
78;78;31/01/2012;Bleu;35.0;8.0;43587.0;M;licence;Data Scientist;47.01;oui;0;11
79;79;11/10/2014;Bleu;26.0;10.0;33852.0;F;bac;Data Scientist;75.27;non;0;8
80;80;21/02/2012;Hazel;37.0;11.0;34451.0;F;licence;Data Scientist;76.2;non;0;3
81;81;17/04/2012;Marron;31.0;9.0;25740.0;F;doctorat;Data Analyst;97.07;non;0;12
82;82;23/06/2013;Vert;46.0;7.0;35899.0;M;licence;Data Scientist;66.5;non;0;3
83;83;13/10/2012;Bleu;35.0;14.0;31201.0;M;licence;Data Scientist;87.35;non;0;15
84;84;17/05/2013;Bleu;44.0;11.0;35865.0;M;master;Data Scientist;82.39;oui;1;14
85;85;26/06/2014;Bleu;21.0;14.0;33632.0;M;licence;Data Scientist;;non;0;4
86;86;30/10/2013;Marron;36.0;10.0;31450.0;F;master;Data Engineer;89.11;oui;0;4
87;87;30/10/2012;Vert;37.0;12.0;27789.0;M;;Data Scientist;81.83;non;0;15
88;88;24/11/2012;Bleu;30.0;3.0;34821.0;M;master;Data Scientist;81.13;oui;0;8
89;89;12/08/2012;Bleu;39.0;14.0;39782.0;M;master;Data Steward;54.71;oui;0;11
90;90;17/11/2013;Hazel;41.0;6.0;32184.0;M;doctorat;Data Analyst;91.68;oui;0;13
